,no_bab,nama_bab,no_bagian,nama_bagian,no_paragraf,nama_paragraf,no_pasal,no_ayat,isi_ayat,pasal_ayat,penjelasan_pasal,no_ayat_y,penjelasan,nomor_uu,tahun_uu
29,V,"PERSONEL, ASET, DAN DOKUMEN",,,,,14,4," Personel sebagaimana dimaksud pada ayat (1) dan ayat (2) meliputi
pegawai negeri sipil yang karena tugas dan kemampuannya diperlukan
oleh Kabupaten Banggai Laut.",14-4,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Banggai Kepulauan dalam wilayah
Kabupaten Banggai Laut.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Banggai Kepulauan kepada
Pemerintah Kabupaten Banggai Laut.
Badan Usaha Milik Daerah (BUMD) Kabupaten Banggai
Kepulauan yang berkedudukan, kegiatan, dan lokasinya
berada di Kabupaten Banggai Laut diserahkan oleh
Pemerintah Kabupaten Banggai Kepulauan kepada
Pemerintah Kabupaten Banggai Laut.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Banggai Laut diserahkan oleh Pemerintah
Kabupaten Banggai Kepulauan kepada Pemerintah
Kabupaten Banggai Laut.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.
Ayat (6)
Cukup jelas.
Ayat (7)
Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.",4,Cukup jelas.,5,2013
30,V,"PERSONEL, ASET, DAN DOKUMEN",,,,,14,5," Gubernur Sulawesi Tengah mengoordinasikan dan memfasilitasi
pemindahan personel, penyerahan aset, dan dokumen kepada
Kabupaten Banggai Laut.",14-5,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Banggai Kepulauan dalam wilayah
Kabupaten Banggai Laut.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Banggai Kepulauan kepada
Pemerintah Kabupaten Banggai Laut.
Badan Usaha Milik Daerah (BUMD) Kabupaten Banggai
Kepulauan yang berkedudukan, kegiatan, dan lokasinya
berada di Kabupaten Banggai Laut diserahkan oleh
Pemerintah Kabupaten Banggai Kepulauan kepada
Pemerintah Kabupaten Banggai Laut.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Banggai Laut diserahkan oleh Pemerintah
Kabupaten Banggai Kepulauan kepada Pemerintah
Kabupaten Banggai Laut.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.
Ayat (6)
Cukup jelas.
Ayat (7)
Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.",5,"Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Banggai Kepulauan dalam wilayah
Kabupaten Banggai Laut.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Banggai Kepulauan kepada
Pemerintah Kabupaten Banggai Laut.
Badan Usaha Milik Daerah (BUMD) Kabupaten Banggai
Kepulauan yang berkedudukan, kegiatan, dan lokasinya
berada di Kabupaten Banggai Laut diserahkan oleh
Pemerintah Kabupaten Banggai Kepulauan kepada
Pemerintah Kabupaten Banggai Laut.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Banggai Laut diserahkan oleh Pemerintah
Kabupaten Banggai Kepulauan kepada Pemerintah
Kabupaten Banggai Laut.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.",5,2013
31,V,"PERSONEL, ASET, DAN DOKUMEN",,,,,14,6," Gaji dan tunjangan pegawai negeri sipil sebagaimana dimaksud pada
ayat (4), selama belum ditetapkannya Anggaran Pendapatan dan Belanja
Daerah Kabupaten Banggai Laut, dibebankan pada anggaran
pendapatan dan belanja dari asal satuan kerja personel yang
bersangkutan sesuai dengan peraturan perundang-undangan.",14-6,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Banggai Kepulauan dalam wilayah
Kabupaten Banggai Laut.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Banggai Kepulauan kepada
Pemerintah Kabupaten Banggai Laut.
Badan Usaha Milik Daerah (BUMD) Kabupaten Banggai
Kepulauan yang berkedudukan, kegiatan, dan lokasinya
berada di Kabupaten Banggai Laut diserahkan oleh
Pemerintah Kabupaten Banggai Kepulauan kepada
Pemerintah Kabupaten Banggai Laut.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Banggai Laut diserahkan oleh Pemerintah
Kabupaten Banggai Kepulauan kepada Pemerintah
Kabupaten Banggai Laut.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.
Ayat (6)
Cukup jelas.
Ayat (7)
Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.",6,Cukup jelas.,5,2013
32,V,"PERSONEL, ASET, DAN DOKUMEN",,,,,14,7," Aset dan dokumen sebagaimana dimaksud pada ayat (1) dan ayat (3)
meliputi:
a. barang milik Kabupaten Banggai Kepulauan yang bergerak dan
tidak bergerak dan/atau yang dikuasai atau dimanfaatkan oleh
Pemerintah Kabupaten Banggai Laut yang berada dalam wilayah
Kabupaten Banggai Laut;
b. Badan Usaha Milik Daerah Kabupaten Banggai Kepulauan yang
kedudukan, kegiatan, dan lokasinya berada di Kabupaten
Banggai Laut;
c. utang piutang Kabupaten Banggai Kepulauan yang kegunaannya
untuk Kabupaten Banggai Laut menjadi tanggung jawab
Kabupaten Banggai Laut; dan
d. dokumen dan arsip yang karena sifatnya diperlukan oleh
Kabupaten Banggai Laut.",14-7,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Banggai Kepulauan dalam wilayah
Kabupaten Banggai Laut.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Banggai Kepulauan kepada
Pemerintah Kabupaten Banggai Laut.
Badan Usaha Milik Daerah (BUMD) Kabupaten Banggai
Kepulauan yang berkedudukan, kegiatan, dan lokasinya
berada di Kabupaten Banggai Laut diserahkan oleh
Pemerintah Kabupaten Banggai Kepulauan kepada
Pemerintah Kabupaten Banggai Laut.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Banggai Laut diserahkan oleh Pemerintah
Kabupaten Banggai Kepulauan kepada Pemerintah
Kabupaten Banggai Laut.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.
Ayat (6)
Cukup jelas.
Ayat (7)
Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.",7,"Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.",5,2013
33,V,"PERSONEL, ASET, DAN DOKUMEN",,,,,14,8," Dalam hal ketentuan sebagaimana dimaksud pada ayat (3) dan ayat(7) tidak dilaksanakan atau belum selesai dilaksanakan oleh Bupati
Banggai Kepulauan, Gubernur Sulawesi Tengah selaku wakil
Pemerintah wajib menyelesaikannya dalam waktu paling lambat 1
(satu) tahun.",14-8,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Banggai Kepulauan dalam wilayah
Kabupaten Banggai Laut.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Banggai Kepulauan kepada
Pemerintah Kabupaten Banggai Laut.
Badan Usaha Milik Daerah (BUMD) Kabupaten Banggai
Kepulauan yang berkedudukan, kegiatan, dan lokasinya
berada di Kabupaten Banggai Laut diserahkan oleh
Pemerintah Kabupaten Banggai Kepulauan kepada
Pemerintah Kabupaten Banggai Laut.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Banggai Laut diserahkan oleh Pemerintah
Kabupaten Banggai Kepulauan kepada Pemerintah
Kabupaten Banggai Laut.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.
Ayat (6)
Cukup jelas.
Ayat (7)
Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.",8,Cukup jelas.,5,2013
34,V,"PERSONEL, ASET, DAN DOKUMEN",,,,,14,9," Pelaksanaan pemindahan personel dan penyerahan aset serta
dokumen sebagaimana dimaksud pada ayat (1) dilaporkan oleh
Gubernur Sulawesi Tengah kepada Menteri Dalam Negeri.",14-9,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Cukup jelas.
Ayat (4)
Cukup jelas.
Ayat (5)
Untuk mencapai daya guna dan hasil guna penyelenggaraan
pemerintahan, pelaksanaan pembangunan dan pelayanan
kemasyarakatan, digunakan pegawai, tanah, gedung
perkantoran dan perlengkapannya, serta fasilitas pelayanan
umum yang telah ada selama ini dalam pelaksanaan tugas
Pemerintah Kabupaten Banggai Kepulauan dalam wilayah
Kabupaten Banggai Laut.
Dalam rangka tertib administrasi, diperlukan tindakan
hukum berupa penyerahan personel, aset, dan dokumen dari
Pemerintah Kabupaten Banggai Kepulauan kepada
Pemerintah Kabupaten Banggai Laut.
Badan Usaha Milik Daerah (BUMD) Kabupaten Banggai
Kepulauan yang berkedudukan, kegiatan, dan lokasinya
berada di Kabupaten Banggai Laut diserahkan oleh
Pemerintah Kabupaten Banggai Kepulauan kepada
Pemerintah Kabupaten Banggai Laut.
Dalam hal Badan Usaha Milik Daerah (BUMD) yang
pelayanan/kegiatan operasionalnya mencakup kabupaten
induk dan kabupaten baru, pemerintah daerah yang
bersangkutan melakukan kerja sama.
Utang piutang yang penggunaannya dimanfaatkan untuk
Kabupaten Banggai Laut diserahkan oleh Pemerintah
Kabupaten Banggai Kepulauan kepada Pemerintah
Kabupaten Banggai Laut.
Berkenaan dengan pengaturan penyerahan tersebut,
dibuatkan daftar inventaris.
Ayat (6)
Cukup jelas.
Ayat (7)
Penyerahan aset dan dokumen dilakukan sesuai dengan
peraturan perundang-undangan.
Ayat (8)
Cukup jelas.
Ayat (9)
Cukup jelas.",9,Cukup jelas.,5,2013
35,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,15,1," Kabupaten Banggai Laut berhak mendapatkan alokasi dana
perimbangan dan dana transfer lainnya sesuai dengan peraturan
perundang-undangan.",15-1,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Dana transfer ke daerah dilakukan untuk meningkatkan
kesejahteraan rakyat dan mengoptimalkan pelayanan publik
serta tidak digunakan hanya untuk pembangunan dan/atau
pengadaan sarana prasarana di antaranya kantor
pemerintahan, rumah dinas, dan kendaraan dinas.",1,Cukup jelas.,5,2013
36,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,15,2," Dalam dana perimbangan sebagaimana dimaksud pada ayat (1),
Pemerintah mengalokasikan dana alokasi khusus prasarana
pemerintahan sesuai dengan peraturan perundang-undangan.",15-2,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Dana transfer ke daerah dilakukan untuk meningkatkan
kesejahteraan rakyat dan mengoptimalkan pelayanan publik
serta tidak digunakan hanya untuk pembangunan dan/atau
pengadaan sarana prasarana di antaranya kantor
pemerintahan, rumah dinas, dan kendaraan dinas.",2,Cukup jelas.,5,2013
37,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,15,3," Dana perimbangan sebagaimana dimaksud pada ayat (1) yang berupa
dana transfer ke daerah dialokasikan sesuai dengan kemampuan
keuangan negara sesuai dengan peraturan perundang-undangan.",15-3,"Ayat (1)
Cukup jelas.
Ayat (2)
Cukup jelas.
Ayat (3)
Dana transfer ke daerah dilakukan untuk meningkatkan
kesejahteraan rakyat dan mengoptimalkan pelayanan publik
serta tidak digunakan hanya untuk pembangunan dan/atau
pengadaan sarana prasarana di antaranya kantor
pemerintahan, rumah dinas, dan kendaraan dinas.",3,"Dana transfer ke daerah dilakukan untuk meningkatkan
kesejahteraan rakyat dan mengoptimalkan pelayanan publik
serta tidak digunakan hanya untuk pembangunan dan/atau
pengadaan sarana prasarana di antaranya kantor
pemerintahan, rumah dinas, dan kendaraan dinas.",5,2013
38,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,16,1," Pemerintah Kabupaten Banggai Kepulauan sesuai kesanggupannya
memberikan hibah berupa uang untuk menunjang kegiatan
penyelenggaraan pemerintahan Kabupaten Banggai Laut sebesar
Rp2.500.000.000,00 (dua miliar lima ratus juta rupiah) setiap tahun
selama 3 (tiga) tahun berturut-turut serta untuk pelaksanaan
pemilihan Bupati dan/atau Wakil Bupati Banggai Laut pertama kali
sebesar Rp2.500.000.000,00 (dua miliar lima ratus juta rupiah).",16-1,"Ayat (1)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Bupati Banggai Kepulauan
Nomor 135 Tahun 2010 tanggal 31 Mei 2010 dan Keputusan
Dewan Perwakilan Rakyat Daerah Kabupaten Banggai
Kepulauan Nomor 15/KPTS/DPRD/2010 tanggal 26 Mei
2010, serta untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Banggai Laut pertama kali sesuai dengan Keputusan
Bupati Banggai Kepulauan Nomor 136 Tahun 2010 tanggal
31 Mei 2010 dan Keputusan Dewan Perwakilan Rakyat
Daerah Kabupaten Banggai Kepulauan Nomor
16/KPTS/DPRD/2010 tanggal 26 Mei 2010.
Ayat (2)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Gubernur Sulawesi Tengah
Nomor 135/505/RO.ADM PUM-G.ST/2010 tanggal 9 Agustus
2010 dan Keputusan Dewan Perwakilan Rakyat Daerah
Provinsi Sulawesi Tengah Nomor 30/DPRD2008 tanggal 4
Desember 2008 serta untuk pelaksanaan pemilihan Bupati
dan Wakil Bupati Banggai Laut pertama kali sesuai dengan
Keputusan Gubernur Sulawesi Tengah Nomor
135/505/RO.ADM PUM-G.ST/2010 tanggal 9 Agustus 2010
dan Keputusan Dewan Perwakilan Rakyat Daerah Provinsi
Sulawesi Tengah Nomor 30/DPRD2008 tanggal 4 Desember
2008.
Ayat (3)
Cukup jelas.
Ayat (4)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (5)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.",1,"Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Bupati Banggai Kepulauan
Nomor 135 Tahun 2010 tanggal 31 Mei 2010 dan Keputusan
Dewan Perwakilan Rakyat Daerah Kabupaten Banggai
Kepulauan Nomor 15/KPTS/DPRD/2010 tanggal 26 Mei
2010, serta untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Banggai Laut pertama kali sesuai dengan Keputusan
Bupati Banggai Kepulauan Nomor 136 Tahun 2010 tanggal
31 Mei 2010 dan Keputusan Dewan Perwakilan Rakyat
Daerah Kabupaten Banggai Kepulauan Nomor
16/KPTS/DPRD/2010 tanggal 26 Mei 2010.",5,2013
39,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,16,2," Pemerintah Provinsi Sulawesi Tengah memberikan bantuan dana
untuk menunjang kegiatan penyelenggaraan pemerintahan Kabupaten
Banggai Laut sebesar Rp2.000.000.000,00 (dua miliar rupiah) setiap
tahun selama 3 (tiga) tahun berturut-turut serta untuk pelaksanaan
pemilihan Bupati dan/atau Wakil Bupati Banggai Laut pertama kali
sebesar Rp1.000.000.000,00 (satu miliar rupiah).",16-2,"Ayat (1)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Bupati Banggai Kepulauan
Nomor 135 Tahun 2010 tanggal 31 Mei 2010 dan Keputusan
Dewan Perwakilan Rakyat Daerah Kabupaten Banggai
Kepulauan Nomor 15/KPTS/DPRD/2010 tanggal 26 Mei
2010, serta untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Banggai Laut pertama kali sesuai dengan Keputusan
Bupati Banggai Kepulauan Nomor 136 Tahun 2010 tanggal
31 Mei 2010 dan Keputusan Dewan Perwakilan Rakyat
Daerah Kabupaten Banggai Kepulauan Nomor
16/KPTS/DPRD/2010 tanggal 26 Mei 2010.
Ayat (2)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Gubernur Sulawesi Tengah
Nomor 135/505/RO.ADM PUM-G.ST/2010 tanggal 9 Agustus
2010 dan Keputusan Dewan Perwakilan Rakyat Daerah
Provinsi Sulawesi Tengah Nomor 30/DPRD2008 tanggal 4
Desember 2008 serta untuk pelaksanaan pemilihan Bupati
dan Wakil Bupati Banggai Laut pertama kali sesuai dengan
Keputusan Gubernur Sulawesi Tengah Nomor
135/505/RO.ADM PUM-G.ST/2010 tanggal 9 Agustus 2010
dan Keputusan Dewan Perwakilan Rakyat Daerah Provinsi
Sulawesi Tengah Nomor 30/DPRD2008 tanggal 4 Desember
2008.
Ayat (3)
Cukup jelas.
Ayat (4)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (5)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.",2,"Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Gubernur Sulawesi Tengah
Nomor 135/505/RO.ADM PUM-G.ST/2010 tanggal 9 Agustus
2010 dan Keputusan Dewan Perwakilan Rakyat Daerah
Provinsi Sulawesi Tengah Nomor 30/DPRD2008 tanggal 4
Desember 2008 serta untuk pelaksanaan pemilihan Bupati
dan Wakil Bupati Banggai Laut pertama kali sesuai dengan
Keputusan Gubernur Sulawesi Tengah Nomor
135/505/RO.ADM PUM-G.ST/2010 tanggal 9 Agustus 2010
dan Keputusan Dewan Perwakilan Rakyat Daerah Provinsi
Sulawesi Tengah Nomor 30/DPRD2008 tanggal 4 Desember
2008.",5,2013
40,VI,"PENDAPATAN, ALOKASI DANA PERIMBANGAN,
HIBAH, DAN BANTUAN KEUANGAN",,,,,16,3," Pemberian hibah sebagaimana dimaksud pada ayat (1) dan pemberian
bantuan dana sebagaimana dimaksud pada ayat (2) dimulai sejak
pelantikan Penjabat Bupati Banggai Laut.",16-3,"Ayat (1)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Bupati Banggai Kepulauan
Nomor 135 Tahun 2010 tanggal 31 Mei 2010 dan Keputusan
Dewan Perwakilan Rakyat Daerah Kabupaten Banggai
Kepulauan Nomor 15/KPTS/DPRD/2010 tanggal 26 Mei
2010, serta untuk pelaksanaan pemilihan Bupati dan Wakil
Bupati Banggai Laut pertama kali sesuai dengan Keputusan
Bupati Banggai Kepulauan Nomor 136 Tahun 2010 tanggal
31 Mei 2010 dan Keputusan Dewan Perwakilan Rakyat
Daerah Kabupaten Banggai Kepulauan Nomor
16/KPTS/DPRD/2010 tanggal 26 Mei 2010.
Ayat (2)
Yang dimaksud dengan memberikan bantuan dana dalam
ketentuan ini adalah pemberian sejumlah dana yang
didasarkan pada Keputusan Gubernur Sulawesi Tengah
Nomor 135/505/RO.ADM PUM-G.ST/2010 tanggal 9 Agustus
2010 dan Keputusan Dewan Perwakilan Rakyat Daerah
Provinsi Sulawesi Tengah Nomor 30/DPRD2008 tanggal 4
Desember 2008 serta untuk pelaksanaan pemilihan Bupati
dan Wakil Bupati Banggai Laut pertama kali sesuai dengan
Keputusan Gubernur Sulawesi Tengah Nomor
135/505/RO.ADM PUM-G.ST/2010 tanggal 9 Agustus 2010
dan Keputusan Dewan Perwakilan Rakyat Daerah Provinsi
Sulawesi Tengah Nomor 30/DPRD2008 tanggal 4 Desember
2008.
Ayat (3)
Cukup jelas.
Ayat (4)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (5)
Pengurangan penerimaan dana perimbangan sesuai
mekanisme yang diatur dalam Peraturan Menteri Keuangan
mengenai tata cara pemotongan dana alokasi umum dan
dana bagi hasil daerah induk/provinsi yang tidak memenuhi
kewajiban hibah/bantuan pendanaan kepada daerah otonom
baru.
Ayat (6)
Cukup jelas.
Ayat (7)
Cukup jelas.",3,Cukup jelas.,5,2013
